,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",file
race_pred_wiki_ln,0.0043119123071328385,0.004000207803002753,0.010338199386981143,0.004467764559197881,0.00753285884981038,0.6993610057665334,0.01465011169411398,0.05434048522001143,0.04187230505480804,0.018598368746428385,0.07397786898020677,0.057925087017507405,0.008623824614265677,cities
race_pred_wiki_name,0.011325263650059744,0.003480700296119279,0.030598992155436645,0.014546210192737285,0.009455036625279235,0.6163437061665541,0.01948153150813029,0.06384747259597902,0.03506675671463453,0.021715413787729232,0.07631565276118239,0.07382201672814172,0.02384539456595148,cities
race_pred_wiki_ln,0.005880289681639054,0.003325286621137406,0.012694204303959395,0.006229324420052132,0.008720710311483415,0.7013345850441194,0.012541179221600952,0.05151787126635993,0.04534700586653462,0.01795723550732113,0.08017138809224146,0.04519054201828048,0.009090377645270665,state
race_pred_wiki_name,0.011643661322824465,0.004664685937510746,0.0369942435058906,0.028316517768103382,0.012425980564095157,0.5454398525457184,0.02132722608510258,0.05942875220940709,0.03771810372693448,0.018266724437933715,0.09525553469370912,0.09852580106051541,0.02670717532891796,state
race_pred_wiki_ln,0.03301169083800389,0.0063558097879470735,0.030816047456713083,0.01055449625392423,0.018990389245199437,0.5825195970801795,0.023054255503553476,0.06873904585813062,0.046378151422353193,0.023689836482348185,0.08969395812869552,0.054197723464494134,0.011998998478457657,university
race_pred_wiki_name,0.03688295679975347,0.0057009687794919205,0.05161687948999442,0.02696404152462395,0.023323895918799714,0.4898981144430962,0.028813004372026732,0.06581152134974289,0.032491670037171856,0.022476454613740104,0.09206294177693033,0.09516380655226209,0.028793744342366288,university
race_pred_wiki_ln,0.005506878261704784,0.004255557571423998,0.01268396281789949,0.005720323155569311,0.008655190446206551,0.6452599225195035,0.015079881751528799,0.0552128579204064,0.049831378533847025,0.020421340220488575,0.10709864355769949,0.060319527006115196,0.009954536237606856,counties
race_pred_wiki_name,0.011405961515885635,0.0035725339110575125,0.033142655894814355,0.021304468468853054,0.011947577934066872,0.5487027886575383,0.021592619075570165,0.06257937481990587,0.03823064855231001,0.02050405011686108,0.10136764815743696,0.09771774047235356,0.02787857119988047,counties
race_pred_wiki_ln,0.005238949169481999,0.004552302882045134,0.012324740077587291,0.006364251524392144,0.009743897135152177,0.6234561362625257,0.015731801692564405,0.06091711518834172,0.05158944284448521,0.02091841121763198,0.1143920314137561,0.0648700045236407,0.009900916068395453,k12
race_pred_wiki_name,0.009985656445066427,0.005135516062663016,0.040853584829478685,0.03063364616655721,0.015109956869640638,0.473702444136776,0.024928624925384852,0.05982172120166839,0.04075762881471891,0.01825905880857523,0.11923469470410031,0.1333564292399162,0.027990494123628733,k12
